B        18 42 26 16  5 35 30 37  7  8 45 10 31 20 13  4  3 28 21  0 15 40 33 22  1  9 23 44 34 25  2 41 47 24 38 12 19 46 11 14 39 32 43 17  6 27 29 36
RawFitness        16449

Gen                 AvgFit              BestFit			AvgStd
0              50147.57            40731.88            3429.07             
1              49046.34            39975.48            3240.96             
2              48290.56            39578.36            3178.74             
3              47637.85            39012.46            3192.85             
4              47122.72            38517.5             3152.94             
5              46658.08            37964.32            3226.57             
6              46287.51            37991.42            3168.2              
7              45908.45            37556.9             3186.99             
8              45614.22            37343.4             3206.0              
9              45310.86            37126.18            3230.12             
10             44990.18            36794.28            3254.62             
11             44808.6             36987.08            3219.62             
12             44550.09            36621.98            3199.05             
13             44240.92            36455.96            3197.59             
14             43995.96            36315.2             3231.12             
15             43728.04            36284.6             3224.62             
16             43494.93            35807.54            3210.28             
17             43189.25            35423.78            3201.35             
18             42934.8             35344.06            3168.78             
19             42748.2             35243.2             3204.85             
20             42445.48            34748.9             3214.84             
21             42199.48            34380.74            3183.83             
22             41977.65            34467.84            3170.15             
23             41665.45            34324.46            3136.53             
24             41440.3             34229.74            3153.98             
25             41183.67            34099.9             3151.3              
26             40928.56            33966.3             3093.81             
27             40624.81            33780.08            3013.55             
28             40391.24            33608.06            2980.25             
29             40108.2             33400.76            2944.41             
30             39829.27            33395.66            2946.52             
31             39531.93            33045.8             2929.31             
32             39246.88            32828.24            2882.3              
33             38980.28            32617.06            2862.66             
34             38699.63            32461.96            2794.3              
35             38451.44            32189.82            2754.27             
36             38175.72            31936.62            2736.5              
37             37921.36            31642.7             2682.86             
38             37691.13            31518.16            2716.73             
39             37430.19            31368.78            2651.12             
40             37189.09            30900.44            2661.01             
41             36912.4             30716.66            2631.63             
42             36571.63            30777.16            2607.88             
43             36211.12            30395.06            2581.19             
44             35945.43            30256.98            2477.37             
45             35659.35            29907.2             2495.56             
46             35362.09            29682.26            2451.61             
47             35031.62            29724.44            2354.09             
48             34741.78            29266.5             2366.97             
49             34402.74            29047.04            2295.86             
50             34154.72            28958.98            2289.17             
51             33845.47            28676.62            2239.57             
52             33565.34            28663.34            2193.72             
53             33307.72            28380.56            2133.28             
54             33059.64            28374.62            2063.02             
55             32811.07            28073.58            2058.85             
56             32593.32            28066.84            2020.49             
57             32344.82            27943.82            1996.59             
58             32166.13            27914.04            1988.83             
59             31957.55            27769.28            1922.86             
60             31760.63            27380.84            1935.06             
61             31552.67            27264.32            1903.8              
62             31337.99            27029.52            1862.91             
63             31136.88            26926.56            1856.1              
64             30919.72            26786.5             1836.19             
65             30705.05            26662.94            1791.85             
66             30489.89            26488.14            1757.73             
67             30284.72            26284.36            1751.43             
68             30076.48            26123.48            1728.83             
69             29858.82            26039.98            1738.13             
70             29674.12            25929.66            1706.77             
71             29506.3             25847.78            1675.67             
72             29311.39            25799.58            1675.37             
73             29112.87            25613.16            1619.42             
74             28917.4             25456.2             1573.58             
75             28755.9             25379.36            1561.69             
76             28566.45            25264.0             1537.22             
77             28401.26            25031.38            1518.21             
78             28218.75            24992.58            1491.72             
79             28016.17            24861.1             1459.71             
80             27848.78            24779.48            1447.89             
81             27661.21            24685.12            1377.68             
82             27493.2             24734.6             1334.0              
83             27319.02            24629.0             1296.41             
84             27156.84            24446.1             1244.69             
85             26983.44            24394.72            1236.38             
86             26795.07            24239.6             1170.76             
87             26667.55            24053.74            1227.55             
88             26518.28            24057.5             1167.43             
89             26356.09            23987.76            1118.34             
90             26236.47            23865.44            1144.02             
91             26061.72            23691.62            1123.34             
92             25887.56            23642.72            1081.5              
93             25735.43            23541.64            1039.78             
94             25570.39            23452.98            994.28              
95             25440.08            23291.72            998.9               
96             25265.2             23177.32            994.03              
97             25107.21            23072.02            937.62              
98             24962.68            22905.86            929.32              
99             24839.26            22872.22            906.24              
100            24698.29            22747.2             899.33              
101            24567.52            22723.36            874.07              
102            24445.24            22718.24            834.89              
103            24312.33            22662.08            815.03              
104            24181.14            22536.74            800.81              
105            24040.48            22392.92            769.64              
106            23935.9             22335.08            780.62              
107            23818.33            22334.36            739.63              
108            23699.07            22240.68            721.95              
109            23571.91            22149.44            669.62              
110            23489.01            22158.0             675.53              
111            23363.82            22084.3             627.7               
112            23261.08            21975.38            639.61              
113            23153.27            21948.76            625.42              
114            23034.3             21881.46            567.72              
115            22927.7             21804.08            540.01              
116            22831.04            21795.74            530.89              
117            22739.36            21749.04            499.92              
118            22672.76            21698.04            508.57              
119            22592.99            21623.76            494.93              
120            22526.74            21632.44            454.25              
121            22458.81            21620.16            436.94              
122            22383.63            21583.3             420.87              
123            22325.04            21508.5             436.64              
124            22253.56            21462.38            404.7               
125            22191.86            21443.76            392.79              
126            22122.1             21398.68            376.39              
127            22065.6             21393.66            377.32              
128            22005.09            21354.52            361.74              
129            21922.67            21334.5             315.25              
130            21869.85            21317.46            314.61              
131            21814.88            21254.62            324.04              
132            21755.53            21229.28            290.95              
133            21706.37            21186.36            281.2               
134            21655.85            21176.76            271.25              
135            21617.13            21141.98            306.61              
136            21568.1             21126.2             255.41              
137            21530.55            21070.52            242.93              
138            21501.38            21077.78            269.29              
139            21467.94            21053.92            248.57              
140            21445.73            21045.1             264.38              
141            21413.02            21049.96            241.38              
142            21384.8             21032.02            247.07              
143            21349.01            21018.1             240.06              
144            21314.27            21008.4             222.26              
145            21280.04            20958.06            212.88              
146            21252.59            20960.66            238.92              
147            21222.15            20949.34            203.87              
148            21197.06            20923.7             190.8               
149            21167.95            20895.5             170.67              
150            21141.87            20852.44            185.62              
151            21121.18            20858.42            177.56              
152            21097.13            20851.44            173.97              
153            21079.0             20846.8             177.25              
154            21059.89            20842.38            171.59              
155            21035.16            20849.54            153.08              
156            21016.96            20845.14            169.43              
157            21003.0             20844.16            169.59              
158            20979.54            20848.2             132.6               
159            20968.83            20840.38            145.19              
160            20959.65            20822.88            157.21              
161            20950.42            20835.8             147.04              
162            20936.97            20840.94            142.39              
163            20931.43            20811.28            145.17              
164            20926.29            20813.0             147.26              
165            20913.74            20797.14            114.41              
166            20909.99            20800.42            143.06              
167            20903.07            20800.4             120.72              
168            20900.93            20794.16            136.78              
169            20897.37            20777.7             166.43              
170            20890.77            20792.44            136.87              
171            20887.63            20791.98            136.91              
172            20882.62            20772.12            131.21              
173            20882.14            20773.02            106.42              
174            20880.01            20770.54            110.34              
175            20877.72            20793.14            110.8               
176            20876.52            20765.18            117.35              
177            20872.76            20753.5             110.2               
178            20873.9             20728.92            138.91              
179            20865.8             20692.56            121.08              
180            20863.36            20721.0             130.93              
181            20857.5             20739.3             118.69              
182            20850.32            20738.5             143.1               
183            20843.97            20716.62            104.64              
184            20843.45            20715.04            115.9               
185            20836.56            20720.46            137.65              
186            20827.21            20763.66            98.91               
187            20820.44            20747.1             118.03              
188            20819.07            20750.56            133.22              
189            20811.82            20758.62            95.75               
190            20806.85            20737.16            85.58               
191            20803.58            20748.98            73.35               
192            20804.54            20731.32            92.33               
193            20799.7             20734.26            77.79               
194            20800.78            20732.98            97.88               
195            20798.19            20733.7             87.58               
196            20796.69            20741.74            85.48               
197            20796.44            20756.12            83.59               
198            20798.31            20765.08            109.79              
199            20793.91            20744.34            96.04               
200            20793.98            20727.56            87.61               
201            20791.29            20721.24            105.33              
202            20791.19            20725.24            106.7               
203            20787.52            20723.3             87.21               
204            20779.96            20716.52            69.13               
205            20780.16            20701.52            93.55               
206            20780.61            20694.38            105.65              
207            20777.38            20656.5             97.51               
208            20767.9             20651.74            67.85               
209            20769.38            20651.94            101.84              
210            20770.07            20650.98            123.63              
211            20760.36            20646.22            114.41              
212            20758.59            20639.34            139.08              
213            20747.22            20627.44            127.37              
214            20739.8             20624.48            128.2               
215            20728.61            20609.62            130.66              
216            20715.95            20595.08            138.74              
217            20706.7             20611.38            159.85              
218            20689.4             20594.26            133.69              
219            20677.27            20587.64            119.36              
220            20672.3             20582.66            123.28              
221            20668.58            20577.76            124.46              
222            20665.53            20609.32            101.23              
223            20661.5             20619.66            98.03               
224            20657.26            20630.76            71.63               
225            20656.64            20608.74            85.52               
226            20654.42            20599.0             88.42               
227            20656.12            20593.08            111.63              
228            20655.05            20602.72            113.57              
229            20655.69            20583.94            104.55              
230            20652.59            20578.6             110.77              
231            20648.79            20578.94            91.51               
232            20648.27            20576.12            95.58               
233            20648.31            20572.5             98.7                
234            20645.16            20553.76            103.54              
235            20644.07            20543.2             118.86              
236            20640.32            20551.66            110.42              
237            20640.71            20549.36            130.35              
238            20637.95            20525.68            144.7               
239            20635.16            20549.84            142.73              
240            20626.8             20545.58            132.82              
241            20620.86            20523.32            116.86              
242            20617.58            20529.08            120.66              
243            20613.51            20519.54            134.57              
244            20606.18            20492.68            110.94              
245            20604.84            20472.36            119.65              
246            20606.21            20458.84            138.28              
247            20600.31            20446.06            135.49              
248            20589.09            20472.94            110.72              
249            20576.4             20420.76            107.11              

