B         [ 2,28,40,15, 1,10,12,24,38,31,20,14,39,30,37, 7,11,46,19, 5,35,17, 6,42,27,16,26,36,18,43, 0,21, 8,29,45,32,22,41, 4, 3,25,34,44, 9,23,47,13,33,  ]
RawFitness        17741

Gen                 AvgFit              BestFit			AvgStd
0              50050.54            40716.1             3409.06             
1              49073.19            40542.54            3209.13             
2              48294.81            40138.3             3207.54             
3              47601.04            39296.18            3168.86             
4              47096.53            38782.46            3170.28             
5              46695.15            38611.12            3161.77             
6              46303.79            38433.04            3133.58             
7              46044.07            38152.24            3135.9              
8              45683.16            37796.9             3171.3              
9              45492.01            37342.26            3187.8              
10             45268.14            37416.66            3221.58             
11             44998.71            37207.54            3225.14             
12             44724.97            36987.74            3167.03             
13             44532.34            36269.36            3296.24             
14             44326.03            36174.2             3321.45             
15             44163.33            35975.56            3277.67             
16             43925.76            35743.44            3314.39             
17             43737.75            35692.36            3321.95             
18             43470.71            35804.6             3302.74             
19             43208.92            35537.14            3272.31             
20             42992.99            35419.98            3245.49             
21             42809.82            35218.28            3233.64             
22             42579.79            34966.18            3217.0              
23             42391.57            34982.24            3175.05             
24             42187.26            34677.48            3245.99             
25             41823.92            34414.04            3223.94             
26             41651.16            34247.36            3221.94             
27             41376.32            33946.32            3195.78             
28             41187.73            33574.78            3164.28             
29             40985.11            33764.06            3192.46             
30             40744.44            33393.9             3144.35             
31             40466.78            33415.56            3106.22             
32             40271.71            33237.24            3091.15             
33             40035.28            32892.22            3091.55             
34             39827.28            32663.16            3084.74             
35             39641.38            32530.68            3077.9              
36             39432.42            32315.8             3078.69             
37             39211.27            32309.66            3021.06             
38             38935.46            32076.38            3001.24             
39             38697.08            31738.76            3005.87             
40             38423.51            31637.36            2965.49             
41             38167.09            31612.22            2968.91             
42             37882.18            31360.84            2910.19             
43             37667.34            31260.18            2915.4              
44             37382.94            31028.54            2871.48             
45             37110.81            30769.92            2855.94             
46             36805.81            30702.02            2762.79             
47             36592.44            30624.86            2756.62             
48             36377.83            30519.9             2728.09             
49             36172.28            30397.7             2791.45             
50             35930.31            30257.56            2731.64             
51             35675.66            29886.38            2691.19             
52             35427.27            29835.4             2641.75             
53             35255.34            29404.32            2690.3              
54             35071.38            29516.4             2686.87             
55             34850.05            29380.58            2683.69             
56             34606.56            29029.18            2682.79             
57             34366.18            29007.4             2595.45             
58             34141.79            28736.16            2683.04             
59             33917.79            28488.74            2594.17             
60             33672.78            28490.58            2544.0              
61             33377.59            28250.16            2441.71             
62             33212.72            28264.88            2576.1              
63             32998.37            28034.96            2518.33             
64             32768.5             27984.62            2443.64             
65             32552.53            27889.08            2410.41             
66             32355.65            27581.18            2483.17             
67             32135.95            27456.36            2413.82             
68             31896.78            27223.82            2427.47             
69             31699.23            27080.0             2369.63             
