B         [ 0,15,40,33,47,41,28, 4,38,46,14,45,17,35, 6,27,36,16,18,29, 5,42,26,37,39,12,24,23,44, 9,31,20,34,25, 3, 2, 1,13,22,10,19,43,30, 8, 7,32,11,21,  ]
RawFitness        17749

Gen                 AvgFit              BestFit			AvgStd
0              50049.36            40425.62            3388.1              
1              48981.79            40228.58            3260.16             
2              48218.36            39733.92            3166.43             
3              47703.83            39625.2             3116.54             
4              47234.17            39037.6             3126.27             
5              46710.8             38959.08            3114.06             
6              46277.12            38583.86            3184.06             
7              45933.23            37931.36            3169.25             
8              45615.31            37726.34            3161.63             
9              45353.87            37376.7             3187.92             
10             45054.4             37163.26            3202.83             
11             44849.46            37092.38            3218.99             
12             44653.73            36928.68            3217.88             
13             44475.39            36703.62            3214.73             
14             44304.34            36413.88            3209.01             
15             44101.39            36424.08            3201.47             
16             43872.23            36102.12            3214.51             
17             43698.54            36001.46            3263.63             
18             43412.21            35385.66            3302.56             
19             43140.73            35042.2             3297.9              
20             42836.45            35021.96            3209.43             
21             42495.05            34790.74            3168.33             
22             42315.22            34678.98            3205.96             
23             42088.9             34702.36            3187.66             
24             41850.31            34555.48            3145.63             
25             41613.56            34379.7             3121.37             
26             41370.14            33811.02            3133.31             
27             41123.85            33901.46            3057.99             
28             40814.62            33720.4             3022.5              
29             40481.92            33345.5             2964.07             
30             40246.57            32935.7             2950.19             
31             40048.71            32836.68            2966.76             
32             39848.65            32943.8             2951.54             
33             39615.28            32653.9             2928.75             
34             39398.35            32599.1             2985.6              
35             39135.99            32386.4             2960.57             
36             38891.71            32168.34            2909.14             
37             38623.4             31855.48            2894.13             
38             38337.74            31733.12            2805.48             
39             38078.12            31555.32            2751.2              
40             37811.13            31293.54            2769.85             
41             37596.03            31013.38            2798.37             
42             37322.33            30861.4             2794.81             
43             37088.9             30718.94            2792.41             
44             36732.25            30590.0             2696.58             
45             36433.34            30510.34            2646.55             
46             36172.0             30132.96            2603.05             
47             35888.51            29875.58            2575.47             
48             35658.88            29622.44            2553.61             
49             35370.04            29648.22            2469.43             
50             35061.05            29481.9             2435.13             
51             34853.41            29168.64            2394.97             
52             34688.89            29288.48            2373.51             
53             34406.07            29224.94            2314.24             
54             34142.07            28999.6             2247.89             
55             33905.77            28723.18            2228.6              
56             33672.91            28710.1             2220.63             
57             33419.94            28369.94            2179.23             
58             33171.76            28081.42            2170.42             
59             32894.26            27968.44            2159.74             
60             32703.94            27875.1             2159.83             
61             32438.11            27735.22            2113.02             
62             32192.8             27622.16            2018.73             
63             31980.69            27547.02            2022.2              
64             31712.55            27363.88            1947.2              
65             31435.7             27050.24            1922.72             
66             31195.03            26788.1             1908.69             
67             30950.41            26679.08            1903.2              
68             30712.92            26494.06            1859.94             
69             30483.75            26278.38            1839.79             
70             30217.4             26170.72            1766.34             
71             30012.87            26038.48            1726.94             
72             29800.59            25922.72            1706.01             
73             29618.48            25810.82            1704.39             
74             29411.16            25772.14            1633.51             
75             29228.51            25541.98            1620.18             
76             29040.57            25364.06            1600.29             
77             28850.22            25209.88            1566.28             
