B         [46,11, 6,23,31,29,32,40,43,10, 2,37, 0,33,44,24, 5,17,42,13,28, 9,38,20, 7,16, 4,15, 3,35, 1,45,26,47,22,25,12,36,21,39,41,27,18,14,30,19, 8,34,  ]
RawFitness        36063

Gen                 AvgFit              BestFit			AvgStd
0              50027.64            40768.68            3356.39             
1              49853.92            40833.9             3328.37             
2              49603.29            40890.74            3304.34             
3              49347.22            41067.64            3291.75             
4              49074.47            41213.28            3253.46             
5              48816.35            41306.74            3216.61             
6              48559.33            41319.44            3186.21             
7              48300.37            41327.72            3167.57             
8              48103.99            41353.66            3137.34             
9              47907.87            41424.32            3089.3              
10             47708.4             41400.92            3053.33             
11             47509.79            41341.58            3003.84             
12             47314.89            41452.48            2965.75             
13             47074.78            41410.08            2929.65             
14             46853.4             41494.84            2879.36             
15             46648.79            41549.76            2821.8              
16             46451.0             41664.5             2749.9              
17             46291.05            41766.62            2683.18             
18             46121.43            41800.1             2609.71             
19             46022.89            41873.76            2590.47             
20             45982.13            41969.68            2534.19             
21             45815.58            42028.48            2496.68             
22             45680.38            42087.52            2415.02             
23             45570.2             42165.9             2357.65             
24             45425.09            42181.74            2304.54             
25             45351.83            42273.08            2223.78             
26             45229.47            42265.12            2179.79             
27             45140.02            42310.42            2168.12             
28             45150.64            42369.64            2094.42             
29             45203.42            42550.06            2033.7              
30             45286.84            42608.84            2027.33             
31             45179.17            42514.94            1990.12             
32             45088.4             42402.72            1978.02             
33             45227.78            42432.52            2036.0              
34             45266.85            42611.94            1931.38             
35             45154.78            42427.58            1976.65             
36             45249.53            42516.4             1984.96             
37             45316.33            42525.1             2057.7              
38             45428.29            42672.4             1957.96             
39             45442.38            42745.6             1887.18             
40             45544.47            42826.94            1921.74             
41             45522.74            42848.26            1902.1              
42             45635.24            42952.1             1839.53             
43             45603.85            42995.46            1714.1              
44             45504.6             42937.0             1757.22             
45             45445.73            43018.0             1705.15             
46             45638.16            43176.1             1758.48             
47             45540.25            43275.38            1668.06             
48             45658.17            43366.1             1642.21             
49             45496.7             43271.46            1674.45             
50             45439.51            43246.68            1676.75             
51             45508.62            43421.2             1550.96             
52             45615.79            43530.28            1547.11             
53             45943.8             43500.6             1705.35             
54             46048.09            43729.4             1603.15             
55             46366.15            43814.24            1676.53             
56             46276.36            43790.26            1671.03             
57             46333.79            43829.88            1786.11             
58             46459.77            43875.22            1794.64             
59             46579.51            43987.8             1867.13             
60             46681.86            44125.28            1845.84             
61             46670.08            44185.22            1757.34             
62             46669.57            44297.02            1703.37             
63             46898.3             44315.78            1764.0              
64             46743.52            44397.86            1622.05             
65             46681.91            44312.54            1628.84             
66             46813.12            44321.44            1713.2              
67             46925.94            44522.54            1655.82             
68             46974.34            44560.64            1710.98             
69             47022.45            44730.02            1607.55             
70             47290.13            44918.06            1568.04             
71             47205.77            45016.92            1518.01             
72             47273.25            45224.18            1518.8              
73             47358.85            45423.38            1431.8              
74             47220.48            45207.34            1456.05             
75             47259.5             45093.9             1546.44             
76             47385.13            45240.32            1455.12             
77             47376.22            45277.88            1488.77             
78             47749.76            45500.4             1612.78             
79             47930.47            45667.36            1653.5              
80             47787.32            45699.34            1597.64             
81             47804.94            45821.3             1533.08             
82             47816.96            45745.98            1546.36             
83             47767.4             45886.46            1422.49             
84             48212.88            45870.88            1564.8              
85             48368.8             46092.98            1579.39             
86             48391.07            46162.96            1588.59             
87             48438.41            46175.98            1571.02             
88             48399.35            46359.0             1495.31             
89             48488.26            46399.32            1520.19             
90             48603.46            46498.26            1436.24             
91             48578.06            46563.88            1391.73             
92             48563.68            46509.86            1446.65             
93             48528.13            46506.82            1378.31             
94             48758.12            46615.1             1405.39             
95             48820.36            46723.18            1385.21             
96             48652.53            46736.5             1285.87             
97             48807.25            46903.5             1280.1              
98             49285.65            47271.06            1275.75             
99             49624.43            47311.58            1395.9              
100            49748.51            47438.84            1393.53             
101            49842.83            47648.94            1334.87             
102            50085.86            47750.58            1387.6              
103            50258.86            47856.4             1386.52             
104            50081.1             47732.78            1338.8              
105            50007.66            47682.76            1277.38             
106            49925.94            47739.42            1260.26             
107            49978.03            47814.6             1291.4              
108            50002.23            47887.7             1347.89             
109            49894.91            47988.08            1230.79             
110            49791.1             48021.98            1151.79             
111            49754.21            48090.02            1147.21             
112            49955.19            48191.5             1239.64             
113            49712.56            48035.34            1183.94             
114            49846.24            48231.48            1181.78             
115            49756.15            48226.3             1176.1              
116            49936.31            48463.44            1080.03             
117            50045.26            48685.22            1037.07             
118            50138.63            48922.12            1008.01             
119            50330.06            49048.66            1069.99             
120            50310.95            49190.78            924.9               
121            50000.55            48931.34            904.55              
122            49876.83            48850.94            864.17              
123            49921.94            48932.26            841.92              
124            49837.9             48959.04            769.88              
125            49941.74            49013.52            821.91              
126            50120.57            49170.92            773.79              
127            50037.51            49100.02            736.83              
128            49999.1             48996.44            749.93              
129            50059.33            49019.28            766.86              
130            49926.13            48949.44            728.19              
131            49869.01            48952.96            737.26              
132            49883.69            48971.2             760.38              
133            49758.53            48839.68            780.31              
134            49957.05            49024.7             752.25              
135            50056.75            49166.64            664.38              
136            50048.38            49214.06            626.98              
137            50025.3             49212.12            539.17              
138            49988.48            49187.52            529.38              
139            49811.76            49068.58            552.52              
140            49589.03            48869.78            543.64              
141            49749.32            49049.82            514.33              
142            49751.72            49059.66            518.32              
143            49742.38            49062.56            535.47              
144            49508.86            48976.64            463.9               
145            49795.74            49341.88            468.2               
146            49496.86            48993.46            450.66              
147            49531.45            48999.46            468.15              
148            49316.32            48789.78            488.27              
149            49640.93            49180.8             457.07              
150            49876.84            49483.34            389.1               
151            49833.35            49470.72            324.09              
152            49699.0             49251.9             385.34              
153            49942.82            49398.54            418.47              
154            50448.39            49996.9             386.09              
155            50614.45            50177.5             348.46              
156            50144.72            49757.12            325.44              
157            50222.21            49747.92            427.02              
158            50292.45            49842.8             418.64              
159            50074.05            49607.76            436.99              
160            50510.95            50090.14            360.51              
161            50428.44            49993.54            378.18              
162            50127.84            49715.4             366.01              
163            49721.14            49376.92            342.74              
164            50110.57            49793.34            322.07              
165            50459.9             50155.76            314.91              
166            50682.81            50364.02            305.46              
167            50561.65            50179.78            363.72              
168            50066.7             49714.18            357.98              
169            50322.63            50024.34            311.12              
170            50603.13            50153.08            355.33              
171            50353.4             49913.96            283.77              
172            50472.17            50164.94            218.76              
173            50391.16            49967.96            289.95              
174            50618.38            50069.02            322.71              
175            50600.54            50133.08            283.2               
176            50595.92            50126.2             259.5               
177            50257.05            49755.64            326.93              
178            50330.08            49916.28            303.69              
179            50352.41            50013.14            221.49              
180            50103.41            49823.2             169.35              
181            50205.59            49949.0             169.48              
182            50111.29            49787.76            196.53              
183            49856.08            49573.54            232.34              
184            49846.9             49577.7             234.26              
185            49740.78            49560.24            242.43              
186            49995.86            49820.96            210.59              
187            49910.57            49782.62            176.53              
188            49717.14            49611.44            157.82              
189            49458.21            49363.86            148.77              
190            49529.74            49446.12            155.64              
191            49305.51            49185.48            191.47              
192            49264.84            49140.2             209.22              
193            49226.57            49131.3             177.5               
194            49327.89            49230.0             164.12              
195            49329.69            49188.1             142.09              
196            49348.06            49207.28            98.47               
197            49402.45            49271.6             104.97              
198            49552.62            49363.88            86.8                
199            49421.24            49274.36            43.78               
200            49501.54            49371.68            37.03               
201            49616.11            49521.06            34.28               
202            49806.68            49710.48            31.18               
203            50122.61            50026.84            33.67               
204            50185.25            50047.26            67.94               
205            50237.96            50129.08            67.88               
206            50368.29            50276.6             72.64               
207            50159.0             50074.46            100.57              
208            50563.52            50483.34            100.0               
209            50572.45            50458.18            81.93               
210            50345.56            50215.44            95.74               
211            50648.96            50539.8             73.46               
212            50759.24            50617.5             93.87               
213            50529.85            50411.14            98.81               
214            50625.78            50505.76            95.23               
215            50093.96            50013.26            86.62               
216            50005.04            49926.78            84.2                
217            49849.25            49735.64            86.74               
218            49812.87            49668.6             65.03               
219            50125.34            50018.2             52.63               
220            49875.05            49786.42            48.49               
221            49951.19            49851.8             49.39               
222            50188.24            50066.94            40.06               
223            49790.64            49674.7             42.63               
224            49779.57            49668.8             40.23               
225            50077.51            49999.38            37.24               
226            49868.46            49799.28            32.11               
227            49657.27            49589.3             30.27               
228            49828.68            49806.26            10.14               
229            49810.26            49794.98            16.72               
230            49438.41            49428.46            24.04               
231            49452.27            49445.2             20.3                
232            49743.37            49736.34            21.73               
233            49743.55            49738.06            19.66               
234            49508.1             49503.16            22.39               
235            49672.64            49634.38            16.71               
236            49966.4             49963.14            12.98               
237            50046.33            50002.12            17.05               
238            49593.1             49548.9             22.37               
239            49585.75            49544.52            17.22               
240            49445.56            49404.98            14.37               
241            49650.55            49613.92            13.49               
242            49774.11            49737.98            11.06               
243            49740.46            49704.12            8.81                
