B        38 47 30 22 20 46 43 19 14 12  1 11 21 15 13 23  9 44 41 25  3 28  4  2 34 40 33  8 10 31 24 35 16  7  0 39 37 17 18 26 36  6 27  5 29 42 45 32
RawFitness        24539

Gen                 AvgFit              BestFit			AvgStd
0              50040.06            40812.26            3356.66             
1              48903.98            40103.4             3161.56             
2              48089.66            39533.64            3152.93             
3              47303.18            39141.64            3067.28             
4              46704.85            38302.42            3042.26             
5              46201.34            38021.56            3097.05             
6              45651.24            37786.46            3047.85             
7              45213.02            37500.72            3015.22             
8              44801.13            36754.02            3037.14             
9              44500.66            36522.1             3037.51             
10             44174.96            36583.9             3042.49             
11             43874.11            36147.44            2979.81             
12             43656.66            35889.92            2926.11             
13             43381.67            35791.82            2994.6              
14             43191.54            35608.04            2986.28             
15             43000.48            35441.92            2978.8              
16             42780.08            35266.56            3005.34             
17             42521.49            34838.24            3000.37             
18             42335.98            34691.7             3039.5              
19             42262.86            34464.5             3032.61             
20             42101.91            34441.98            3033.07             
21             41961.02            34476.52            3038.79             
22             41830.03            34208.56            3046.56             
23             41685.49            34245.22            3045.64             
24             41583.14            34455.38            3013.23             
25             41437.53            34023.24            3007.29             
26             41333.44            33726.88            3007.63             
27             41242.6             33681.8             2984.3              
28             41149.11            33609.3             3010.72             
29             41081.52            33612.14            3030.06             
30             41001.47            33354.86            3019.01             
31             40905.65            33538.08            3022.49             
32             40774.4             33273.46            3002.93             
33             40669.68            33336.32            3009.96             
34             40587.22            33235.62            2964.7              
35             40508.0             33427.58            2957.96             
36             40477.48            33084.36            2961.63             
37             40414.25            33070.44            2970.19             
38             40405.22            33076.58            2985.53             
39             40362.54            33064.5             3013.79             
40             40284.67            32912.14            3004.29             
41             40246.17            32703.36            3039.27             
42             40228.07            32659.04            3047.71             
43             40191.77            32658.22            3063.57             
44             40126.96            32761.18            3053.18             
45             40045.32            32496.12            3024.7              
46             39967.75            32793.98            3018.94             
47             39947.57            32617.26            3035.23             
48             39993.42            32699.12            3022.05             
49             39988.34            32722.96            3003.18             
50             39949.37            32852.08            2985.15             
51             39874.33            32730.6             3004.82             
52             39883.72            32767.94            2995.88             
53             39886.26            32565.32            3017.07             
54             39791.42            32664.0             2985.89             
55             39803.65            32508.78            3033.19             
56             39711.82            32340.48            3019.14             
57             39679.6             32157.42            3021.45             
58             39667.36            32433.7             2993.87             
59             39645.31            32522.38            3003.8              
60             39591.04            32178.94            3022.76             
61             39550.25            32229.92            3059.86             
62             39446.14            32158.22            3077.84             
63             39405.83            32133.3             3045.4              
64             39334.84            32093.78            3016.99             
65             39274.04            32085.76            3027.45             
66             39267.21            32059.74            2994.49             
67             39293.45            31982.62            3000.14             
68             39304.0             31871.26            3028.69             
69             39270.47            32214.14            2966.86             
70             39203.3             32366.38            2951.8              
71             39257.12            32343.64            2997.11             
72             39217.97            32413.8             2980.55             
73             39160.91            32037.28            2975.04             
74             39137.05            31967.3             2939.54             
75             39244.35            31877.12            2984.19             
76             39300.68            32040.2             2963.8              
77             39249.54            32223.26            2954.84             
78             39242.68            31996.28            3020.84             
79             39133.2             31818.34            3007.57             
80             39163.87            31942.16            3034.25             
81             39106.42            31885.0             2991.26             
82             39163.31            31941.16            3009.81             
83             39140.68            32020.3             3025.43             
84             39010.75            31596.92            3027.27             
85             38929.45            31637.56            3017.88             
86             38898.34            31519.36            2955.87             
87             38920.15            31534.6             2969.33             
88             38900.69            31748.34            2957.01             
89             38891.12            31831.6             2958.75             
90             38876.0             31667.96            2978.02             
91             38840.78            31863.24            2995.59             
92             38808.38            31983.92            2951.35             
93             38843.42            31845.86            2918.87             
94             38908.18            31752.66            2974.45             
95             38909.72            31658.7             3002.71             
96             38856.68            31341.24            2996.28             
97             38885.55            31542.1             2963.11             
98             38825.06            31489.56            2990.22             
99             38841.05            31585.94            3015.52             
100            38791.67            31382.4             2997.51             
101            38823.96            31751.78            3006.39             
102            38849.49            31731.72            3028.26             
103            38838.69            31636.28            3047.83             
104            38857.84            31375.66            3064.07             
105            38835.26            31323.38            3084.04             
106            38726.9             31533.82            3022.81             
107            38693.24            31650.54            2968.47             
108            38690.99            31418.62            2962.21             
109            38761.02            31526.72            2971.8              
110            38775.62            31488.6             2989.76             
111            38787.75            31302.56            3026.2              
112            38824.46            31427.16            3004.63             
113            38868.02            31496.42            3019.68             
