B        32 19 11 10 13 31 20 38 33 28  3  2 25 34 44 23  9 41 24  4 47 22  1  0  8  5 18 27 16 42 29 36 26 35 46 12 40 15 21 14 43 17  6 30 37  7 39 45
RawFitness        16977

Gen                 AvgFit              BestFit			AvgStd
0              50020.93            40908.44            3398.41             
1              48998.67            40535.26            3194.64             
2              48283.3             40063.94            3157.38             
3              47743.36            39327.92            3145.3              
4              47163.57            38798.12            3132.69             
5              46688.51            38348.16            3163.2              
6              46351.54            37989.44            3207.62             
7              46070.64            37843.5             3204.62             
8              45709.98            37410.74            3216.7              
9              45420.97            37354.28            3202.03             
10             45172.68            37195.9             3261.78             
11             44875.56            36892.5             3259.37             
12             44596.38            36642.8             3228.04             
13             44353.83            36366.28            3181.31             
14             44003.53            35999.74            3219.07             
15             43810.22            36060.72            3245.93             
16             43471.7             35717.92            3200.69             
17             43249.9             35422.18            3206.12             
18             43093.61            35240.48            3146.76             
19             42925.24            35462.38            3162.08             
20             42677.07            35149.78            3184.64             
21             42370.78            34826.96            3152.52             
22             42087.66            34688.42            3109.44             
23             41880.69            34675.5             3076.04             
24             41606.49            34599.18            3050.24             
25             41333.51            34493.18            2981.58             
26             41083.03            34282.64            2990.4              
27             40900.68            34040.32            3010.56             
28             40651.55            33944.78            2981.35             
29             40331.4             33532.56            2975.12             
30             40084.05            33180.5             2911.12             
31             39860.0             33270.74            2864.73             
32             39593.91            33004.52            2850.46             
33             39351.04            32765.66            2775.72             
34             39095.24            32524.48            2753.22             
35             38844.44            32139.52            2788.84             
36             38580.26            32144.4             2768.27             
37             38358.55            31856.32            2742.57             
38             38048.87            31879.06            2689.13             
39             37784.92            31560.98            2611.16             
40             37580.1             31554.76            2604.93             
41             37305.88            31488.08            2584.4              
42             36978.32            31204.58            2550.82             
43             36664.93            31010.88            2499.51             
44             36401.23            30673.44            2499.79             
45             36147.3             30224.98            2477.45             
46             35910.68            30039.32            2418.23             
47             35636.57            30052.06            2409.45             
48             35370.61            29996.98            2376.65             
49             35106.69            29751.24            2330.08             
50             34849.45            29387.18            2331.7              
51             34601.51            29440.9             2294.11             
52             34350.96            29248.26            2232.15             
53             34063.48            28981.34            2199.17             
54             33809.25            28832.14            2174.16             
55             33570.06            28704.14            2159.45             
56             33389.17            28537.24            2134.03             
57             33110.83            28330.32            2095.67             
58             32918.68            28217.72            2093.72             
59             32718.03            27979.42            2058.59             
60             32476.27            27823.66            2014.28             
61             32242.58            27817.1             1972.78             
62             32026.93            27648.22            1935.47             
63             31787.34            27620.3             1903.52             
64             31552.26            27485.26            1896.14             
65             31385.8             27240.72            1833.99             
66             31154.83            27072.76            1804.97             
67             30940.81            26881.12            1800.92             
68             30786.72            26652.24            1775.79             
69             30561.01            26691.08            1774.59             
70             30352.69            26498.3             1757.51             
71             30184.5             26364.08            1706.38             
72             29958.86            26323.48            1673.91             
73             29771.21            26243.6             1630.37             
74             29598.42            26058.8             1624.83             
75             29408.8             25774.26            1600.06             
76             29221.7             25680.94            1572.73             
77             29074.59            25532.08            1571.2              
78             28913.36            25435.5             1568.34             
79             28733.91            25317.84            1539.3              
80             28536.51            25184.4             1487.64             
81             28338.61            25091.08            1482.21             
82             28179.01            24958.14            1474.67             
83             27997.36            24852.76            1442.31             
84             27835.78            24657.86            1438.15             
85             27662.45            24479.3             1395.76             
86             27481.55            24377.2             1367.54             
87             27300.55            24283.8             1378.07             
88             27126.0             24169.12            1310.53             
89             26930.0             24146.56            1289.51             
90             26761.68            24059.48            1271.35             
91             26599.15            23991.02            1247.52             
92             26427.55            23871.38            1203.67             
93             26291.07            23794.66            1169.42             
94             26132.44            23597.62            1183.22             
95             25937.99            23562.1             1123.24             
96             25757.51            23396.6             1097.67             
97             25606.52            23324.96            1068.48             
98             25468.12            23301.94            1042.64             
99             25356.75            23245.38            1037.33             
100            25211.06            23141.1             1004.02             
101            25083.3             23070.76            961.22              
102            24959.37            22988.24            950.44              
103            24808.6             22872.24            935.79              
104            24673.03            22805.76            922.21              
105            24538.46            22739.52            898.3               
106            24424.31            22671.94            848.34              
107            24316.77            22600.42            846.45              
108            24203.35            22558.3             831.66              
109            24080.51            22452.94            814.85              
110            23969.36            22396.74            778.31              
111            23865.45            22320.42            809.95              
112            23751.15            22219.62            754.65              
113            23653.2             22135.52            746.82              
114            23529.85            22108.9             734.93              
115            23417.33            22051.18            693.04              
116            23321.64            21992.3             688.12              
117            23220.98            21976.28            626.75              
